public_space_name,house_number,house_letter,house_number_addition,postcode,city,gemeente,province,type_address_object,addressable_object,side_address,latitude,longitude,geompoint,geogpoint
De Ruijterkade,99,,,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012565017,f,52.3786674,4.90544356,0101000020407100007593180448D5FD4048E17A949EC81D41,0101000020E61000003774C3982C9F13409A135B2C78304A40
De Ruijterkade,105,,1,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000964973,f,52.37777968,4.90516681,0101000020407100000000000010D4FD400000000014C71D41,0101000020E61000001EA2500CE49E13408734A5155B304A40
De Ruijterkade,105,,2,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000784610,f,52.37777968,4.90516681,0101000020407100000000000010D4FD400000000014C71D41,0101000020E61000001EA2500CE49E13408734A5155B304A40
De Ruijterkade,105,,3,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000977861,f,52.37777968,4.90516681,0101000020407100000000000010D4FD400000000014C71D41,0101000020E61000001EA2500CE49E13408734A5155B304A40
De Ruijterkade,105,,H,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000785105,f,52.37777968,4.90516681,0101000020407100000000000010D4FD400000000014C71D41,0101000020E61000001EA2500CE49E13408734A5155B304A40
De Ruijterkade,106,,1,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012064067,f,52.37783318,4.90528372,0101000020407100000000000090D4FD409A9999992BC71D41,0101000020E6100000E883D9B1029F13407F7E76D65C304A40
De Ruijterkade,106,,2,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000618793,f,52.37783408,4.90528371,0101000020407100000000000090D4FD40000000002CC71D41,0101000020E610000066BD31B1029F13403F8000DE5C304A40
De Ruijterkade,106,,3,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000618799,f,52.37783408,4.90528371,0101000020407100000000000090D4FD40000000002CC71D41,0101000020E610000066BD31B1029F13403F8000DE5C304A40
De Ruijterkade,106,,H,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000785105,t,52.37777968,4.90516681,0101000020407100000000000010D4FD400000000014C71D41,0101000020E61000001EA2500CE49E13408734A5155B304A40
De Ruijterkade,107,,5,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000618801,f,52.37781653,4.9053867,0101000020407100000000000000D5FD400000000024C71D41,0101000020E61000006EE2FBB01D9F1340AEAEBA4A5C304A40
De Ruijterkade,107,,H,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000618800,f,52.37781653,4.9053867,0101000020407100000000000000D5FD400000000024C71D41,0101000020E61000006EE2FBB01D9F1340AEAEBA4A5C304A40
De Ruijterkade,107,,,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000977860,f,52.37781653,4.9053867,0101000020407100000000000000D5FD400000000024C71D41,0101000020E61000006EE2FBB01D9F1340AEAEBA4A5C304A40
De Ruijterkade,110,,1,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000948617,f,52.37778147,4.90560737,01010000204071000000000000F0D5FD400000000014C71D41,0101000020E6100000A974128A579F134038BAAE245B304A40
De Ruijterkade,110,,2,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000618803,f,52.37778147,4.90560737,01010000204071000000000000F0D5FD400000000014C71D41,0101000020E6100000A974128A579F134038BAAE245B304A40
De Ruijterkade,110,,3,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012087723,f,52.37776391,4.9056042,01010000204071000093180456ECD5FD409CC420300CC71D41,0101000020E6100000837D2DB5569F1340F45154915A304A40
De Ruijterkade,110,,4,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012087724,f,52.37775314,4.90560071,01010000204071000066666666E8D5FD40448B6C6707C71D41,0101000020E6100000165892CA559F134086E209375A304A40
De Ruijterkade,110,,H,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000618802,f,52.37778147,4.90560737,01010000204071000000000000F0D5FD400000000014C71D41,0101000020E6100000A974128A579F134038BAAE245B304A40
De Ruijterkade,112,A,,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012086784,f,52.37776112,4.90581398,0101000020407100002B8716D9D0D6FD40B07268910AC71D41,0101000020E6100000C08918B38D9F13401632F3795A304A40
De Ruijterkade,112,B,,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012086785,f,52.37775954,4.9058308,010100002040710000D578E926E3D6FD40931804D609C71D41,0101000020E61000002DF8BB1B929F1340FAF1B96C5A304A40
